date,code,name,shares,amount,weight
2026-06-30,2330,台積電,11960000,28823600000,9.93
2026-06-30,2327,國巨*,25098000,28611720000,9.86
2026-06-30,2383,台光電,4486000,24179540000,8.33
2026-06-30,2454,聯發科,5037000,21382065000,7.37
2026-06-30,3037,欣興,15203000,16267210000,5.6
2026-06-30,2345,智邦,6334000,15803330000,5.44
2026-06-30,6223,旺矽,2382000,14506380000,5.0
2026-06-30,2303,聯電,86550000,14237475000,4.9
2026-06-30,3017,奇鋐,5191000,13107275000,4.52
2026-06-30,6669,緯穎,2417000,11202795000,3.86
2026-06-30,2308,台達電,5614000,10947300000,3.77
2026-06-30,8046,南電,8949000,10604565000,3.65
2026-06-30,2368,金像電,8315000,9978000000,3.44
2026-06-30,3665,貿聯-KY,4833848,9256818920,3.19
2026-06-30,3711,日月光投控,12742000,8664560000,2.98
2026-06-30,6274,台燿,5058000,8497440000,2.93
2026-06-30,3653,健策,2267000,7775810000,2.68
2026-06-30,5274,信驊,379000,6251605000,2.15
2026-06-30,6805,富世達,1811000,3042480000,1.05
2026-06-30,8210,勤誠,2267000,2913095000,1.0
2026-06-30,6515,穎崴,252000,2037420000,0.7
2026-06-30,6510,精測,636000,1930260000,0.66
2026-06-30,2449,京元電子,4481000,1512337500,0.52
2026-06-30,3533,嘉澤,652000,1375720000,0.47
2026-06-30,6187,萬潤,1334000,1331332000,0.46
2026-06-30,6147,頎邦,6275000,1327162500,0.46
2026-06-30,2317,鴻海,5114000,1283614000,0.44
2026-06-30,5439,高技,3528000,1095444000,0.38
2026-06-30,6278,台表科,4334000,923142000,0.32
2026-06-30,6271,同欣電,2966000,791922000,0.27
2026-06-30,1590,亞德客-KY,530000,707550000,0.24
2026-06-30,8358,金居,980000,588000000,0.2
2026-06-30,6191,精成科,3988000,424722000,0.15
2026-06-30,4966,譜瑞-KY,624000,392496000,0.14
2026-06-30,3264,欣銓,1508000,334776000,0.12
2026-06-30,3376,新日興,1741000,346459000,0.12
2026-06-30,6488,環球晶,350000,351750000,0.12
2026-06-30,2002,中鋼,5163000,97064400,0.03
2026-06-30,8996,高力,1000,1550000,0.0
2026-06-30,3661,世芯-KY,1000,4180000,0.0
2026-06-30,1815,富喬,107000,11877000,0.0
2026-06-30,3443,創意,1000,4845000,0.0
2026-06-30,2439,美律,1000,90200,0.0
2026-06-30,3008,大立光,1000,4290000,0.0
2026-06-30,4958,臻鼎-KY,1000,630000,0.0
2026-06-30,2382,廣達,1000,368000,0.0
2026-06-30,2313,華通,1000,232500,0.0
2026-06-30,8150,南茂,1000,99500,0.0
2026-06-30,5347,世界,1000,216000,0.0
2026-06-30,2481,強茂,5000,912500,0.0
